Column,Data Type,Non-Null Count,Missing Count,Unique Values,Min,Max,Mean,Outlier Count (IQR),Example Values
timestamp,datetime64[ns],243,0,5,,,,,"['2025-04-01 12:19:00', '2025-04-01 12:18:00', '2025-04-01 12:17:00']"
program,object,243,0,8,,,,,"['AI', 'Bioinformatics', 'Business']"
ml_course,float64,242,2,2,,,,,"['0.0', '1.0']"
ir_course,float64,220,46,2,,,,,"['0.0', '1.0']"
stats_course,float64,214,58,2,,,,,"['1.0', '0.0']"
db_course,float64,235,16,2,,,,,"['1.0', '0.0']"
gender,object,243,0,3,,,,,"['female', 'male', 'other']"
used_chatgpt,float64,203,80,2,,,,,"['1.0', '0.0']"
birthday,datetime64[ns],68,350,62,,,,,"['2001-04-10 00:00:00', '2002-05-05 00:00:00', '2002-07-10 00:00:00']"
room_estimate,float64,233,20,57,5.0,600.0,342.52361,0.0,"['200.0', '300.0', '280.0']"
stress_level,float64,229,28,57,-10.0,110.0,45.2617,0.0,"['20.0', '50.0', '85.0']"
sports_hours,float64,230,26,18,0.0,15.0,5.38087,0.0,"['8.0', '4.0', '7.0']"
random_number,float64,180,126,77,-1.0,888.0,64.47676,0.0,"['9.0', '87.0', '93.0']"
bedtime,object,222,42,55,,,,,"['00:00:00', '00:10:00', '00:30:00']"
good_day_1,object,243,0,174,,,,,"['Good sleep', 'Reading', 'That I feel content and happy']"
good_day_2,object,243,0,199,,,,,"['Friends', 'F1', 'Doing something ']"
est_age_days,float64,151,184,140,7313.0,10464.0,8714.80795,0.0,"['8589.0', '8178.0', '8376.0']"
sleep_duration_to_10am,float64,222,42,55,-0.61667,23.0,10.03664,0.0,"['10.0', '9.833333333333334', '9.5']"
bedtime_sin,float64,204,78,44,-0.96593,0.96593,0.15456,0.0,"['0.0', '0.043619387365336', '0.13052619222005157']"
bedtime_cos,float64,204,78,41,0.25882,1.0,0.89662,0.0,"['1.0', '0.9990482215818578', '0.9914448613738104']"
bedtime_anglenorm,float64,222,42,55,-3.14159,3.03251,0.07532,0.0,"['0.0', '0.04363323129985824', '0.1308996938995747']"
